state,data_source,has_placer_data,match_score,match_type,match_details,regulator_name,regulator_address,regulator_city,regulator_zip,regulator_county,placer_name,placer_address,placer_city,placer_zip,latitude,longitude,visits,sq_ft,visits_per_sq_ft,chain_name,chain_id,dispensary_id,census_state_fips,census_county_fips,census_tract_fips,census_geoid,census_tract_name,total_population,median_age,median_household_income,per_capita_income,total_pop_25_plus,bachelors_degree,masters_degree,professional_degree,doctorate_degree,pop_1mi,pop_3mi,pop_5mi,pop_10mi,pop_20mi,pct_bachelor_plus,population_density,census_tract_error,census_data_complete,census_api_error,census_collection_date
FL,regulator_with_placer,True,100.0,exact,addr:100|city:100|zip:100,GTI (Rise Dispensaries),7218 E Hillsborough Avenue,Tampa,33610,Hillsborough,RISE Cannabis,7218 E Hillsborough Ave,Tampa,33610.0,27.99681854248047,-82.37345123291016,81073.0,2535.226718651251,31.978599548339844,RISE Cannabis,633415c5c0a23d43dd5c7656,FL_0150,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
FL,regulator_with_placer,True,100.0,exact,addr:100|city:100|zip:100,Trulieve,1814 Commerce Avenue,Vero Beach,32960,Indian River,Trulieve,1814 Commerce Avenue,Vero Beach,32960.0,27.634828567504883,-80.39503479003906,81058.0,3547.4424919765097,22.849700927734375,Trulieve,600018e779364106f1345643,FL_0151,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
FL,regulator_with_placer,True,100.0,exact,addr:100|city:100|zip:100,Trulieve,6950 Park Boulevard,Pinellas Park,33781,Pinellas,Trulieve,6950 Park Blvd,Pinellas Park,33781.0,27.838747024536133,-82.73472595214844,80936.0,1695.6730403331296,47.730899810791016,Trulieve,600018e779364106f1345643,FL_0152,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
FL,regulator_with_placer,True,70.0,fuzzy,addr:100|city:40|zip:0,GrowHealthy,4465 E Bay Drive,Largo,33746,Pinellas,GrowHealthy,4465 E Bay Dr,Clearwater,33764.0,27.916017532348633,-82.74092102050781,80899.0,2594.014133931141,31.18680000305176,GrowHealthy,61ed6706873a701e0aea0376,FL_0153,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
FL,regulator_with_placer,True,100.0,exact,addr:100|city:100|zip:100,Sunburn,1059 Park Street,Jacksonville,32204,Duval,Sunburn Cannabis,1059 Park St,Jacksonville,32204.0,30.313945770263672,-81.68083190917969,80887.0,6040.941579916502,13.389800071716309,Sunburn Cannabis,64d2a23184b2d019c221dc00,FL_0154,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
FL,regulator_with_placer,True,100.0,exact,addr:100|city:100|zip:100,Trulieve,6000 Cypress Gardens Boulevard,Winter Haven,33884,Polk,Trulieve,6000 Cypress Gardens Blvd,Winter Haven,33884.0,27.989770889282227,-81.68812561035156,80796.0,7197.092449201989,11.226200103759766,Trulieve,600018e779364106f1345643,FL_0155,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
FL,regulator_with_placer,True,67.2,fuzzy,addr:100|city:29|zip:0,Trulieve,418 Mary Esther Cut Off NW,Fort Walton Beach,32548,Okaloosa,Trulieve,418 Mary Esther Cut Off NW,Mary Esther,32569.0,30.42487335205078,-86.64376068115234,80673.0,2723.4701172461687,29.621400833129883,Trulieve,600018e779364106f1345643,FL_0156,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
FL,regulator_with_placer,True,100.0,exact,addr:100|city:100|zip:100,MUV,400 S Ponce De Leon Boulevard,St. Augustine,32084,St. Johns,MUV Dispensary,400 S Ponce De Leon Blvd,St. Augustine,32084.0,29.887378692626953,-81.32414245605469,80400.0,3147.0173377002966,25.54800033569336,MUV Dispensary,61ed5a32850f00528249a419,FL_0157,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
FL,regulator_with_placer,True,100.0,exact,addr:100|city:100|zip:100,Trulieve,15620 Summerlin Road,Fort Myers,33908,Lee,Trulieve,15620 Summerlin Rd,Fort Myers,33908.0,26.516582489013672,-81.89724731445312,80388.0,7122.176142391935,11.286999702453612,Trulieve,600018e779364106f1345643,FL_0158,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
FL,regulator_with_placer,True,100.0,exact,addr:100|city:100|zip:100,Sanctuary Cannabis,877 E Palmetto Park Road,Boca Raton,33432,Palm Beach,Sanctuary Cannabis,877 E Palmetto Park Rd,Boca Raton,33432.0,26.35086250305176,-80.07245635986328,80128.0,3359.63630518409,23.850200653076172,Sanctuary Cannabis,61ed68e44cb03861cd8e424e,FL_0159,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22
