feature,r_squared,variance_explained_pct
corrected_visits_step1,0.9854566922891143,98.54566922891142
corrected_visits_per_sq_ft,0.4854265294461341,48.542652944613415
visits_per_sq_ft,0.46969869138549947,46.969869138549946
competitors_5mi,0.05727635670972312,5.727635670972312
competitors_3mi,0.045254035915960424,4.525403591596042
competitors_1mi,0.03582604997697801,3.582604997697801
competitors_10mi,0.03319978678264039,3.319978678264039
sq_ft,0.029880997808969065,2.9880997808969063
educated_urban_score,0.025644575664864888,2.564457566486489
saturation_5mi,0.02444639514418243,2.444639514418243
