USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
FL	12005000500	337874718	28527612	130.454	11.015	30.1593438	-85.481657                                                                                                                                  
FL	12005000600	54190724	9090097	20.923	3.51	29.9839939	-85.4173812                                                                                                                                      
FL	12005000700	114529713	78132185	44.22	30.167	30.0485617	-85.5532308                                                                                                                                   
FL	12005000803	9329325	0	3.602	0.	30.15899	-85.5806328                                                                                                                                                  
FL	12005000804	5139279	291452	1.984	0.113	30.1449483	-85.5611579                                                                                                                                        
FL	12005000805	3551651	301990	1.371	0.117	30.1372378	-85.5775998                                                                                                                                        
FL	12005000806	6725433	8083579	2.597	3.121	30.1247515	-85.5611918                                                                                                                                       
FL	12005000900	4904033	4982569	1.893	1.924	30.1272429	-85.6014653                                                                                                                                       
FL	12005001000	3856584	1679024	1.489	0.648	30.1395499	-85.6192985                                                                                                                                       
FL	12005001100	5080135	127165	1.961	0.049	30.1649856	-85.6052602                                                                                                                                        
FL	12005001200	6877963	9768	2.656	0.004	30.1872425	-85.6211805                                                                                                                                          
FL	12005001301	11199179	53412	4.324	0.021	30.2187438	-85.6123577                                                                                                                                        
FL	12005001302	13085745	16941	5.052	0.007	30.2031749	-85.6306683                                                                                                                                        
FL	12005001402	9307010	3481521	3.593	1.344	30.2459217	-85.6289273                                                                                                                                       
FL	12005001403	2029906	1875351	0.784	0.724	30.2523874	-85.6570481                                                                                                                                       
FL	12005001404	8383040	7196370	3.237	2.779	30.2425014	-85.6777405                                                                                                                                       
FL	12005001501	8636585	3520703	3.335	1.359	30.2120003	-85.6829882                                                                                                                                       
FL	12005001502	7429709	6971	2.869	0.003	30.1928156	-85.6712406                                                                                                                                          
FL	12005001600	5717101	56268	2.207	0.022	30.1743033	-85.6511223                                                                                                                                         
FL	12005001700	3028280	81612	1.169	0.032	30.1631544	-85.6329684                                                                                                                                         
FL	12005001800	1970942	641083	0.761	0.248	30.1499669	-85.6304043                                                                                                                                        
FL	12005001900	3493618	2801264	1.349	1.082	30.1449083	-85.6484407                                                                                                                                       
FL	12005002000	3808049	1692717	1.47	0.654	30.1723924	-85.6621483                                                                                                                                        
FL	12005002200	4230873	1546453	1.634	0.597	30.169537	-85.68148                                                                                                                                          
FL	12005002300	2908805	2549788	1.123	0.984	30.1690671	-85.6968538                                                                                                                                       
FL	12005002400	4226743	4069480	1.632	1.571	30.1800516	-85.7160099                                                                                                                                       
FL	12005002500	4003668	8155758	1.546	3.149	30.206102	-85.7034335                                                                                                                                        
FL	12005002604	5608715	639335	2.166	0.247	30.1644563	-85.7628417                                                                                                                                        
FL	12005002605	1233949	1413612	0.476	0.546	30.1612683	-85.7805734                                                                                                                                       
FL	12005002606	1223062	1292148	0.472	0.499	30.1497459	-85.7651345                                                                                                                                       
FL	12005002607	8096669	23598250	3.126	9.111	30.1051469	-85.7007151                                                                                                                                      
FL	12005002608	5823046	11614125	2.248	4.484	30.1485312	-85.7202341                                                                                                                                      
FL	12005002609	9550844	7972672	3.688	3.078	30.189876	-85.752927                                                                                                                                         
FL	12005002703	10045408	1810411	3.879	0.699	30.2211035	-85.8674826                                                                                                                                      
FL	12005002706	11783961	829295	4.55	0.32	30.259644	-85.9363765                                                                                                                                          
FL	12005002707	4655430	3592092	1.797	1.387	30.2582632	-85.9634796                                                                                                                                       
