USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
FL	12011100600	1845225	166387	0.712	0.064	25.9786723	-80.1810098                                                                                                                                        
FL	12011100700	2652338	0	1.024	0.	25.9902195	-80.1936711                                                                                                                                                
FL	12011100801	1369687	31605	0.529	0.012	25.9798728	-80.2113976                                                                                                                                         
FL	12011100803	1369477	0	0.529	0.	25.9803904	-80.2024151                                                                                                                                                
FL	12011100804	890890	0	0.344	0.	25.97872	-80.1946056                                                                                                                                                   
FL	12011110100	4954486	0	1.913	0.	26.0025914	-80.2324366                                                                                                                                                
FL	12011110301	9293685	534033	3.588	0.206	26.0187145	-80.4269385                                                                                                                                        
FL	12011110303	3916986	1144919	1.512	0.442	26.0214323	-80.3899235                                                                                                                                       
FL	12011110307	2312180	360056	0.893	0.139	26.0253236	-80.2946996                                                                                                                                        
FL	12011110308	2322819	309136	0.897	0.119	26.0270878	-80.2656595                                                                                                                                        
FL	12011110309	2322585	250244	0.897	0.097	26.0155802	-80.3058083                                                                                                                                        
FL	12011110311	2344330	193908	0.905	0.075	26.0160985	-80.2720936                                                                                                                                        
FL	12011110312	2936814	206376	1.134	0.08	26.0144091	-80.2556489                                                                                                                                         
FL	12011110313	1437271	0	0.555	0.	26.0158727	-80.2433812                                                                                                                                                
FL	12011110319	2185644	187702	0.844	0.072	25.9890671	-80.2681295                                                                                                                                        
FL	12011110321	9410603	400936	3.633	0.155	25.9750531	-80.3227839                                                                                                                                        
FL	12011110323	3474312	0	1.341	0.	25.9762354	-80.2629204                                                                                                                                                
FL	12011110326	2450661	156921	0.946	0.061	26.0003387	-80.3860597                                                                                                                                        
FL	12011110327	6614007	0	2.554	0.	26.0248696	-80.3356323                                                                                                                                                
FL	12011110328	3480096	474203	1.344	0.183	26.0179638	-80.3189148                                                                                                                                        
FL	12011110330	1929375	297209	0.745	0.115	25.9986411	-80.3702776                                                                                                                                        
FL	12011110332	3790670	0	1.464	0.	26.0004843	-80.3510439                                                                                                                                                
FL	12011110333	3816698	0	1.474	0.	26.0193851	-80.3528824                                                                                                                                                
FL	12011110334	1640351	150696	0.633	0.058	25.9965886	-80.3340253                                                                                                                                        
FL	12011110337	2238291	456985	0.864	0.176	26.0041964	-80.286216                                                                                                                                         
FL	12011110338	1154728	0	0.446	0.	26.0112577	-80.2879504                                                                                                                                                
FL	12011110339	1381022	13728	0.533	0.005	26.0184381	-80.2894042                                                                                                                                         
FL	12011110341	1879379	4254	0.726	0.002	25.999695	-80.2558028                                                                                                                                           
FL	12011110344	1450268	0	0.56	0.	25.9892648	-80.3195462                                                                                                                                                 
FL	12011110345	4002433	0	1.545	0.	25.984371	-80.3322956                                                                                                                                                 
FL	12011110346	1145818	0	0.442	0.	25.9898197	-80.3028673                                                                                                                                                
FL	12011110347	2846117	545293	1.099	0.211	26.0230637	-80.4006685                                                                                                                                        
FL	12011110348	1261492	0	0.487	0.	25.9827624	-80.3048486                                                                                                                                                
FL	12011110349	2286772	269758	0.883	0.104	25.9897718	-80.2904501                                                                                                                                        
FL	12011110350	977705	0	0.377	0.	26.0013401	-80.276308                                                                                                                                                  
FL	12011110351	1548583	47802	0.598	0.018	25.9975358	-80.2705477                                                                                                                                         
FL	12011110352	1283371	0	0.496	0.	26.0041621	-80.3040509                                                                                                                                                
FL	12011110353	1256156	0	0.485	0.	25.9968856	-80.3038467                                                                                                                                                
FL	12011110354	1416197	32163	0.547	0.012	26.0046295	-80.325371                                                                                                                                          
FL	12011110355	1001430	222087	0.387	0.086	25.9985228	-80.3254113                                                                                                                                        
FL	12011110356	1906394	0	0.736	0.	26.0186994	-80.3730113                                                                                                                                                
FL	12011110357	3413217	0	1.318	0.	26.0228641	-80.3655909                                                                                                                                                
FL	12011110358	2588214	0	0.999	0.	25.9859074	-80.3840602                                                                                                                                                
FL	12011110359	3949914	737421	1.525	0.285	25.9952437	-80.4003007                                                                                                                                        
FL	12011110360	4777672	40259	1.845	0.016	25.9869645	-80.3610327                                                                                                                                         
FL	12011110361	23256927	3088902	8.98	1.193	25.9745808	-80.4200884                                                                                                                                       
FL	12011110362	2444790	0	0.944	0.	25.9739129	-80.3627446                                                                                                                                                
FL	12011110363	2656333	571319	1.026	0.221	25.9652371	-80.3639114                                                                                                                                        
FL	12011110364	1843065	180902	0.712	0.07	25.959283	-80.3241931                                                                                                                                          
FL	12011110365	3480432	102420	1.344	0.04	25.96731	-80.3035348                                                                                                                                           
FL	12011110366	1020480	0	0.394	0.	25.9842782	-80.2550613                                                                                                                                                
FL	12011110367	1164395	99359	0.45	0.038	25.9917968	-80.2566577                                                                                                                                          
FL	12011110368	1363128	0	0.526	0.	26.0135699	-80.4034564                                                                                                                                                
FL	12011110402	1842388	1297	0.711	0.001	25.9767983	-80.240105                                                                                                                                           
FL	12011110403	1323099	0	0.511	0.	25.9882712	-80.2428385                                                                                                                                                
FL	12011110404	1482186	0	0.572	0.	25.9890145	-80.2330786                                                                                                                                                
FL	12011110501	987785	15270	0.381	0.006	25.9853842	-80.2192385                                                                                                                                          
FL	12011110502	1714776	45163	0.662	0.017	25.9765875	-80.218773                                                                                                                                          
FL	12011110600	10000254	889644	3.861	0.343	26.0813953	-80.180779                                                                                                                                        
FL	12011980000	2068391200	1294319	798.61	0.5	26.2480353	-80.6053221                                                                                                                                     
FL	12011990000	0	200357810	0.	77.359	26.1492271	-80.0682287                                                                                                                                             
FL	12013010100	211049776	2562901	81.487	0.99	30.5633324	-85.078286                                                                                                                                      
FL	12013010200	868029478	5132029	335.148	1.981	30.3817348	-85.2758361                                                                                                                                   
FL	12013010301	290565158	6152342	112.188	2.375	30.3516292	-85.1283574                                                                                                                                   
FL	12013010302	99750185	4223153	38.514	1.631	30.441013	-85.0369528                                                                                                                                      
FL	12015010100	1103203136	18499859	425.949	7.143	26.8529402	-81.6695815                                                                                                                                 
FL	12015010200	39501585	9660895	15.252	3.73	26.9716423	-81.9870105                                                                                                                                      
FL	12015010301	4706142	1967884	1.817	0.76	26.9198049	-82.0519394                                                                                                                                        
FL	12015010302	10474737	5117973	4.044	1.976	26.9376097	-82.0342212                                                                                                                                      
FL	12015010401	3400424	4147622	1.313	1.601	26.922776	-82.0811108                                                                                                                                        
FL	12015010402	1852117	656492	0.715	0.253	26.917464	-82.060944                                                                                                                                          
FL	12015010405	12896265	9630600	4.979	3.718	26.8901501	-82.0756607                                                                                                                                      
FL	12015010503	39735028	1280837	15.342	0.495	26.910363	-81.9928748                                                                                                                                      
FL	12015010504	6873526	278749	2.654	0.108	26.87166	-81.992305                                                                                                                                           
FL	12015010505	73905670	37995547	28.535	14.67	26.8249478	-82.037004                                                                                                                                     
FL	12015010506	54710812	21502185	21.124	8.302	26.783905	-81.9872165                                                                                                                                     
FL	12015020101	9864920	694260	3.809	0.268	27.001156	-82.0238478                                                                                                                                         
FL	12015020103	11543647	1240172	4.457	0.479	27.021313	-82.0112844                                                                                                                                       
FL	12015020104	4425333	384204	1.709	0.148	27.0155789	-82.0486081                                                                                                                                        
FL	12015020203	4074845	417362	1.573	0.161	27.0147145	-82.0640279                                                                                                                                        
FL	12015020204	4349757	275208	1.679	0.106	27.016231	-82.0764618                                                                                                                                         
FL	12015020205	3972832	237765	1.534	0.092	27.0088343	-82.0987372                                                                                                                                        
FL	12015020206	5872241	179487	2.267	0.069	27.025432	-82.0982168                                                                                                                                         
FL	12015020301	11994346	546637	4.631	0.211	27.0181018	-82.1288503                                                                                                                                       
FL	12015020302	7152147	203099	2.761	0.078	26.9985323	-82.1464443                                                                                                                                        
FL	12015020303	5409660	466596	2.089	0.18	26.9888622	-82.1303088                                                                                                                                         
FL	12015020401	21440627	7144974	8.278	2.759	26.9773104	-82.1992189                                                                                                                                      
FL	12015020402	36148154	3415244	13.957	1.319	27.0144912	-82.2078732                                                                                                                                     
FL	12015020501	22078316	34555463	8.524	13.342	26.9463384	-82.1477015                                                                                                                                    
FL	12015020502	2894887	4398873	1.118	1.698	26.9575363	-82.0993051                                                                                                                                       
FL	12015020601	2871605	439991	1.109	0.17	26.9802622	-82.1120972                                                                                                                                         
FL	12015020602	2992388	392891	1.155	0.152	26.9738833	-82.0968661                                                                                                                                        
FL	12015020700	2619776	106556	1.012	0.041	26.9907679	-82.1015467                                                                                                                                        
FL	12015020800	2825649	202997	1.091	0.078	26.9953119	-82.0858742                                                                                                                                        
FL	12015020900	7925510	406510	3.06	0.157	26.9826856	-82.0724588                                                                                                                                         
FL	12015021001	5120447	688197	1.977	0.266	26.9862589	-82.0069118                                                                                                                                        
FL	12015021002	10349246	3194587	3.996	1.233	26.9854054	-82.0412665                                                                                                                                      
FL	12015021003	5074335	7422095	1.959	2.866	26.9560587	-82.0665701                                                                                                                                       
FL	12015030101	11568557	2361578	4.467	0.912	26.9583047	-82.2488959                                                                                                                                      
FL	12015030102	11567016	2070038	4.466	0.799	26.9436221	-82.2305884                                                                                                                                      
FL	12015030201	9095282	200031	3.512	0.077	26.9291455	-82.2743453                                                                                                                                        
FL	12015030202	5089405	55633	1.965	0.021	26.9319023	-82.2961308                                                                                                                                         
FL	12015030301	5634465	7792155	2.175	3.009	26.9383813	-82.3494341                                                                                                                                       
FL	12015030302	5822175	600073	2.248	0.232	26.9296771	-82.3239715                                                                                                                                        
FL	12015030401	4254605	1512906	1.643	0.584	26.916676	-82.3226492                                                                                                                                        
FL	12015030402	11138653	16867105	4.301	6.512	26.8380259	-82.2745111                                                                                                                                     
FL	12015030501	105965413	135653989	40.913	52.376	26.8339538	-82.1919811                                                                                                                                 
FL	12015030504	17533535	2218388	6.77	0.857	26.8675379	-82.261595                                                                                                                                        
FL	12015030505	13837309	708751	5.343	0.274	26.8772497	-82.2774743                                                                                                                                       
FL	12015030506	11196577	971018	4.323	0.375	26.9056204	-82.2955699                                                                                                                                       
FL	12015030507	9126782	480743	3.524	0.186	26.9125368	-82.2617388                                                                                                                                        
FL	12015990000	0	339995174	0.	131.273	26.8668794	-82.4199282                                                                                                                                            
FL	12017450103	19801862	0	7.646	0.	28.9241331	-82.4382168                                                                                                                                               
FL	12017450104	17652912	82791	6.816	0.032	28.9249692	-82.4053265                                                                                                                                        
FL	12017450105	5973369	3937506	2.306	1.52	28.9351962	-82.3729196                                                                                                                                        
FL	12017450106	43527468	1225911	16.806	0.473	28.9746573	-82.4033884                                                                                                                                     
FL	12017450201	2759518	0	1.065	0.	28.911728	-82.4626852                                                                                                                                                 
FL	12017450202	4924758	0	1.901	0.	28.9208116	-82.4493433                                                                                                                                                
FL	12017450305	31345332	600	12.103	0.	28.9386379	-82.6086636                                                                                                                                            
FL	12017450306	18859827	0	7.282	0.	28.8839807	-82.5203394                                                                                                                                               
FL	12017450307	32418907	0	12.517	0.	28.940887	-82.4798723                                                                                                                                               
FL	12017450308	74197256	0	28.648	0.	28.9480454	-82.5314797                                                                                                                                              
FL	12017450309	23714192	0	9.156	0.	28.9819825	-82.4778577                                                                                                                                               
FL	12017450310	30637057	0	11.829	0.	29.0012412	-82.4450031                                                                                                                                              
FL	12017450401	37606996	2275102	14.52	0.878	29.0192163	-82.5272993                                                                                                                                      
FL	12017450402	106299161	15013817	41.042	5.797	28.9957465	-82.6686913                                                                                                                                   
FL	12017450501	45040318	29148134	17.39	11.254	28.9424035	-82.6735575                                                                                                                                    
FL	12017450502	70513698	69513065	27.225	26.839	28.8423707	-82.6937406                                                                                                                                   
FL	12017450601	33093732	26002	12.778	0.01	28.8474917	-82.5505344                                                                                                                                        
FL	12017450602	19356729	0	7.474	0.	28.8766926	-82.5521506                                                                                                                                               
FL	12017450703	12129099	11343	4.683	0.004	28.886449	-82.443815                                                                                                                                          
FL	12017450704	19371809	18978	7.479	0.007	28.8677753	-82.4630316                                                                                                                                        
FL	12017450705	22982495	157166	8.874	0.061	28.8779343	-82.3907709                                                                                                                                       
FL	12017450706	9361832	40310	3.615	0.016	28.8540052	-82.3616113                                                                                                                                         
FL	12017450800	55156275	28904518	21.296	11.16	28.9133663	-82.317685                                                                                                                                     
FL	12017450901	21470727	7277511	8.29	2.81	28.8646896	-82.277671                                                                                                                                         
FL	12017450902	8537894	7610169	3.296	2.938	28.8614838	-82.3005983                                                                                                                                       
FL	12017451001	3251176	513258	1.255	0.198	28.8295587	-82.3176585                                                                                                                                        
FL	12017451002	48504594	24553866	18.728	9.48	28.82186	-82.239014                                                                                                                                        
FL	12017451101	33212001	69062	12.823	0.027	28.7334835	-82.3405103                                                                                                                                       
FL	12017451103	4019235	0	1.552	0.	28.8107032	-82.3278068                                                                                                                                                
FL	12017451104	17635407	90650	6.809	0.035	28.769663	-82.30794                                                                                                                                           
FL	12017451200	46034161	14527418	17.774	5.609	28.764735	-82.2581917                                                                                                                                     
FL	12017451300	67555853	3627570	26.083	1.401	28.7024011	-82.2995382                                                                                                                                     
FL	12017451400	210305175	541118	81.199	0.209	28.7737443	-82.4099786                                                                                                                                     
FL	12017451501	38907516	0	15.022	0.	28.7968655	-82.4912237                                                                                                                                              
FL	12017451502	22823028	0	8.812	0.	28.8009972	-82.5421028                                                                                                                                               
FL	12017451603	37395439	1680	14.438	0.001	28.7278853	-82.468353                                                                                                                                         
FL	12017451604	23319224	0	9.004	0.	28.7076327	-82.5146416                                                                                                                                               
FL	12017451605	10572382	0	4.082	0.	28.766622	-82.5350571                                                                                                                                                
FL	12017451606	11150441	0	4.305	0.	28.7388021	-82.5351188                                                                                                                                               
FL	12017451701	16146398	1343406	6.234	0.519	28.7802688	-82.6157846                                                                                                                                      
FL	12017451702	149596406	85789162	57.759	33.123	28.7667084	-82.6600091                                                                                                                                  
FL	12017990000	0	684847210	0.	264.421	28.8613427	-82.8625161                                                                                                                                            
FL	12019030103	24706903	0	9.539	0.	30.0815218	-81.9007372                                                                                                                                               
FL	12019030104	96663670	1036	37.322	0.	30.1506176	-81.9704743                                                                                                                                           
FL	12019030105	80708279	382895	31.162	0.148	30.0845776	-81.9965338                                                                                                                                      
FL	12019030106	19076878	0	7.366	0.	30.0486755	-81.9047123                                                                                                                                               
FL	12019030204	58427414	0	22.559	0.	30.1301307	-81.8830793                                                                                                                                              
FL	12019030205	28590853	256537	11.039	0.099	30.1614044	-81.8512461                                                                                                                                      
FL	12019030206	21897907	78116	8.455	0.03	30.1370786	-81.8194792                                                                                                                                         
FL	12019030207	5832729	77161	2.252	0.03	30.176491	-81.811126                                                                                                                                            
FL	12019030208	3836043	47439	1.481	0.018	30.1745783	-81.8222822                                                                                                                                         
FL	12019030209	3885165	0	1.5	0.	30.1041601	-81.8163088                                                                                                                                                  
FL	12019030210	17435939	0	6.732	0.	30.0853498	-81.8189607                                                                                                                                               
FL	12019030303	2379406	168045	0.919	0.065	30.1817657	-81.7173658                                                                                                                                        
FL	12019030304	3697289	0	1.428	0.	30.1809786	-81.7311501                                                                                                                                                
FL	12019030305	3585629	0	1.384	0.	30.1793974	-81.752999                                                                                                                                                 
FL	12019030306	6375974	5769	2.462	0.002	30.1721654	-81.7537814                                                                                                                                          
FL	12019030400	1601296	0	0.618	0.	30.1694304	-81.7397091                                                                                                                                                
FL	12019030500	2572691	0	0.993	0.	30.1643888	-81.7224654                                                                                                                                                
FL	12019030600	5956625	5141804	2.3	1.985	30.1697308	-81.698356                                                                                                                                          
FL	12019030701	12013900	11117903	4.639	4.293	30.0881019	-81.69524                                                                                                                                       
FL	12019030704	5168732	3798995	1.996	1.467	30.1136617	-81.7439861                                                                                                                                       
FL	12019030705	8520072	3412337	3.29	1.318	30.1329919	-81.7104913                                                                                                                                        
FL	12019030706	2987537	155741	1.153	0.06	30.083469	-81.716842                                                                                                                                           
FL	12019030707	13426537	444976	5.184	0.172	30.0815595	-81.7235318                                                                                                                                       
FL	12019030708	4238327	18518	1.636	0.007	30.0904213	-81.7545365                                                                                                                                         
FL	12019030801	5412765	2566375	2.09	0.991	30.1498335	-81.733805                                                                                                                                         
FL	12019030802	8377788	3117006	3.235	1.203	30.1286678	-81.7578533                                                                                                                                       
FL	12019030903	5919578	0	2.286	0.	30.1356019	-81.7892879                                                                                                                                                
FL	12019030904	8224146	0	3.175	0.	30.153396	-81.7727562                                                                                                                                                 
FL	12019030905	9482446	0	3.661	0.	30.0983249	-81.7823688                                                                                                                                                
FL	12019030906	4261934	0	1.646	0.	30.1227816	-81.7873957                                                                                                                                                
FL	12019031101	46614800	0	17.998	0.	30.003262	-81.8984378                                                                                                                                               
FL	12019031104	20488051	6859910	7.91	2.649	29.7546334	-82.0189639                                                                                                                                       
FL	12019031105	180708377	360706	69.772	0.139	29.8736684	-81.8581013                                                                                                                                     
FL	12019031108	12281190	3130741	4.742	1.209	29.817782	-82.043693                                                                                                                                        
FL	12019031109	18842970	963453	7.275	0.372	29.7958506	-81.9992426                                                                                                                                       
FL	12019031110	68048233	5885796	26.274	2.273	29.8271068	-81.945168                                                                                                                                      
FL	12019031201	107034217	0	41.326	0.	29.9807497	-81.8074888                                                                                                                                             
FL	12019031202	44061445	0	17.012	0.	30.0400295	-81.7739996                                                                                                                                              
FL	12019031203	17940590	700279	6.927	0.27	30.0511887	-81.8290947                                                                                                                                        
FL	12019031301	17864500	0	6.898	0.	30.0028818	-81.732133                                                                                                                                                
FL	12019031302	5695423	6581	2.199	0.003	30.00072	-81.7074153                                                                                                                                            
FL	12019031303	18101219	3178631	6.989	1.227	30.0470418	-81.727873                                                                                                                                       
FL	12019031400	6881253	4223435	2.657	1.631	29.9954459	-81.6846689                                                                                                                                       
FL	12019031500	245008584	26933831	94.598	10.399	29.900752	-81.6896421                                                                                                                                   
FL	12019980000	281100597	17800748	108.534	6.873	29.9447034	-81.9828968                                                                                                                                  
FL	12021000101	1771344	520714	0.684	0.201	26.135465	-81.7974046                                                                                                                                         
FL	12021000102	2062801	52487	0.796	0.02	26.1484712	-81.8006665                                                                                                                                          
FL	12021000200	2293827	70521	0.886	0.027	26.1699418	-81.795686                                                                                                                                          
FL	12021000301	3388832	522848	1.308	0.202	26.1967575	-81.805944                                                                                                                                         
FL	12021000302	2572163	299462	0.993	0.116	26.1690425	-81.8039373                                                                                                                                        
FL	12021000401	1012359	1274173	0.391	0.492	26.2022278	-81.8149081                                                                                                                                       
FL	12021000402	822908	1041816	0.318	0.402	26.1643728	-81.8106979                                                                                                                                        
FL	12021000500	4133443	3844290	1.596	1.484	26.1168911	-81.7992646                                                                                                                                       
FL	12021000600	1057313	618032	0.408	0.239	26.1197806	-81.789262                                                                                                                                         
FL	12021000700	987912	258473	0.381	0.1	26.1491071	-81.7902405                                                                                                                                           
FL	12021010102	13364196	429906	5.16	0.166	26.2983248	-81.7716863                                                                                                                                        
FL	12021010107	2793571	103606	1.079	0.04	26.277299	-81.7667966                                                                                                                                          
FL	12021010108	4433829	423902	1.712	0.164	26.2838098	-81.7919263                                                                                                                                        
FL	12021010109	1387094	32343	0.536	0.012	26.2556869	-81.8070809                                                                                                                                         
FL	12021010110	2227204	7028	0.86	0.003	26.2664818	-81.8114274                                                                                                                                           
FL	12021010111	5379202	683071	2.077	0.264	26.2888863	-81.812511                                                                                                                                         
FL	12021010112	1795186	26790	0.693	0.01	26.3097236	-81.7993695                                                                                                                                          
FL	12021010113	3702935	671519	1.43	0.259	26.3098354	-81.8222249                                                                                                                                         
FL	12021010114	3924777	3134484	1.515	1.21	26.3047913	-81.8325491                                                                                                                                        
FL	12021010205	7362499	542745	2.843	0.21	26.2434176	-81.7943072                                                                                                                                         
FL	12021010208	3993532	350032	1.542	0.135	26.236241	-81.8067462                                                                                                                                         
FL	12021010209	3100757	1748714	1.197	0.675	26.2768385	-81.8251321                                                                                                                                       
FL	12021010210	7025009	506983	2.712	0.196	26.192039	-81.7802828                                                                                                                                         
FL	12021010211	1035353	56482	0.4	0.022	26.2072709	-81.7769964                                                                                                                                           
FL	12021010213	5400414	499515	2.085	0.193	26.2687685	-81.784753                                                                                                                                         
